,Общая,Этаж,Срок сдачи,Тип жилья,Цена,Комнат,Район,Линк,Жилая,Кухня,Санузел,Балкон/лоджия,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Высота потолков,Построен,Ремонт,Вид из окон,Планировка,Отделка
66,45,5,,Вторичка,1750000,2-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/227439582/,29,6,1 совмещенный,,,"2,55 м",,,,,
67,59,1,2,Новостройка,2960000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/242068879/,,,,,,,,,,,
68,52,16,,Вторичка,3800000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/237719312/,35,12,1 совмещенный,1 лоджия,,,,,,,
69,53,6,,Вторичка,3900000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/242703779/,30,11,1 совмещенный,1 балкон,,,,,,,
70,52,3,,Вторичка,3200000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/243826182/,26,13,1 раздельный,1 балкон,,"2,75 м",,,,,
71,71,7,,Вторичка,5500000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/228862151/,41,11,1 совмещенный,1 лоджия,,,,,,,
72,43,4,,Вторичка,1790000,2-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/244077210/,26,6,1 совмещенный,1 балкон,,"2,55 м",,,,,
73,43,8,,Вторичка,1950000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/240174515/,29,8,1 раздельный,1 балкон,,"2,6 м",,,,,
74,47,5,,Вторичка,2870000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/244343354/,27,10,1 раздельный,,,,,,,,
75,54,2,,Вторичка,3995000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/244150728/,30,8,1 совмещенный,,,,,,,,
76,69,3,,Вторичка,4270000,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/244077132/,36,10,1 раздельный,2 лоджии,,"2,75 м",,,,,
77,50,5,,Вторичка,2470000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/244618896/,27,9,1 раздельный,1 лоджия,,"2,75 м",,,,,
78,44,2,,Вторичка,2070000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/235670634/,28,6,1 совмещенный,1 балкон,,"2,55 м",,,,,
79,59,2,,Вторичка,5000000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/244320122/,31,11,1 совмещенный,1 балкон,,,,,,,
80,41,1,,Вторичка,1695000,2-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/240423023/,27,6,1 совмещенный,,,"2,55 м",,,,,
81,51,1,,Вторичка,2470000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/241756388/,30,9,1 раздельный,1 лоджия,,"2,75 м",,,,,
82,48,3,,Вторичка,2800000,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/235559494/,29,6,1 раздельный,1 балкон,,,,,,,
83,51,8,,Вторичка,3200000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/242795814/,28,8,1 раздельный,1 балкон,,,,,,,
84,41,3,,Вторичка,1440000,2-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/238304513/,32,6,1 совмещенный,1 балкон,,"2,55 м",,,,,
85,40,5,,Вторичка,1770000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/240856749/,28,6,1 совмещенный,1 балкон,,"2,55 м",,,,,
86,47,9,,Вторичка,2370000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/242876465/,28,8,1 раздельный,1 лоджия,,"2,75 м",,,,,
87,48,5,,Вторичка,2500000,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/243012893/,30,6,1 раздельный,1 балкон,,"2,6 м",,,,,
88,52,1,,Вторичка,3000000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/244522974/,29,9,1 раздельный,1 лоджия,,,,,,,
89,60,8,,Вторичка,3500000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/238816308/,33,9,1 раздельный,1 балкон,,,,,,,
90,75,9,,Вторичка,6450000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/222096772/,44,18,1 совмещенный,1 лоджия,,,,,,,
91,55,4,,Вторичка,2220000,2-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/225633272/,38,12,1 раздельный,1 балкон,,,,,,,
92,57,3,,Вторичка,1210000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/222092306/,29,9,1 раздельный,1 балкон,,3 м,,,,,
93,43,4,,Вторичка,2149000,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/232295095/,27,6,1 раздельный,1 балкон,,"2,6 м",,,,,
94,46,3,,Вторичка,3280000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/239271176/,28,9,1 раздельный,,,"2,75 м",,,,,
95,45,1,,Вторичка,1870000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/225758665/,29,6,1 раздельный,,,,,,,,
96,73,3,4,Новостройка,3523200,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/242863772/,,,,,,,,,,,
97,89,14,4,Новостройка,4009500,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/242090525/,,,,,,,,,,,
98,51,3,,Вторичка,1300000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/240856770/,28,8,1 раздельный,1 балкон,,3 м,,,,,
99,43,2,,Вторичка,2270000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/241462122/,28,6,1 совмещенный,,,,,,,,
100,48,1,,Вторичка,1280000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/245112619/,27,5,1 раздельный,,,3 м,,,,,
101,44,1,,Вторичка,2250000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/228861956/,30,6,1 раздельный,,,"2,6 м",,,,,
102,46,4,,Вторичка,1560000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/240324586/,27,7,1 раздельный,2 балкона,,3 м,,,,,
103,40,2,,Вторичка,1670000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/244358319/,26,6,1 совмещенный,1 балкон,,"2,55 м",,,,,
104,43,3,,Вторичка,2470000,2-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/244690291/,30,6,1 совмещенный,1 лоджия,,"2,55 м",,,,,
105,50,4,,Вторичка,1820000,2-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/242795758/,28,8,1 раздельный,1 лоджия,,"2,6 м",,,,,
106,57,3,,Вторичка,3300000,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/244208912/,34,8,1 раздельный,1 балкон,,3 м,,,,,
107,44,4,,Вторичка,1620000,2-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/222092410/,26,6,1 совмещенный,1 балкон,,"2,55 м",,,,,
108,51,9,,Вторичка,2560000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/238418927/,28,8,1 раздельный,1 лоджия,,"2,75 м",,,,,
109,51,2,4,Новостройка,2829850,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/233574736/,,,,,,,,,,,
110,36,1,,Вторичка,1270000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/239271173/,25,5,1 совмещенный,,,,,,,,
111,50,2,,Вторичка,1470000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/242876470/,28,9,1 раздельный,1 балкон,,3 м,,,,,
