,Общая,Жилая,Этаж,Тип жилья,Высота потолков,Санузел,Балкон/лоджия,Цена,Комнат,Район,Линк,Кухня,Срок сдачи,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Построен,Ремонт,Вид из окон,Отделка
792,21,,8,,,,,1170000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/246597418/,,,,,,,
793,30,18,4,Вторичка,"2,55 м",1 совмещенный,,1150000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/246062881/,6,,,,,,
794,27,14,2,Вторичка,,1 совмещенный,,1150000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/235297495/,4,,,,,,
795,36,18,3,Вторичка,"2,75 м",1 совмещенный,,1170000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/222096766/,7,,,,,,
796,36,18,4,Вторичка,"2,55 м",1 совмещенный,1 балкон,1150000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/227644708/,8,,,,,,
797,30,17,5,Вторичка,,1 совмещенный,,1160000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/234081395/,6,,,,,,
798,35,19,2,Вторичка,"2,8 м",1 раздельный,,1160000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/236170002/,6,,,,,,
799,32,19,1,Вторичка,,1 совмещенный,,1150000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/235297526/,6,,,,,,
800,25,13,9,Вторичка,"2,7 м",1 раздельный,1 лоджия,1150000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/246568342/,7,,,,Косметический,Во двор,
801,40,18,2,Вторичка,,1 раздельный,1 балкон,1160000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/228733448/,8,,,,Косметический,Во двор,
802,26,16,1,Вторичка,,,,1150000,1-комн.,р-н Ворошиловский,https://volgograd.cian.ru/sale/flat/187010101/,6,,,1948,Косметический,,
803,36,19,1,Вторичка,"2,6 м",1 раздельный,1 лоджия,1160000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/241902028/,9,,,,,,
804,45,27,1,Вторичка,,1 раздельный,,1150000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/244744795/,6,,,,Косметический,,
805,32,18,4,Вторичка,,1 совмещенный,1 балкон,1160000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/242763703/,6,,,,Косметический,На улицу,
806,31,18,5,Вторичка,,1 совмещенный,1 балкон,1180000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/240703001/,6,,,1971,Евроремонт,,
807,33,19,5,Вторичка,,1 совмещенный,1 лоджия,1190000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/241046240/,8,,,1987,Евроремонт,,
808,34,18,5,Вторичка,"2,55 м",1 совмещенный,,1210000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/222095212/,8,,,,,,
809,31,,2,Вторичка,,1 совмещенный,1 балкон,1200000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/246657524/,7,,,1961,,,
810,31,,2,Вторичка,,1 совмещенный,1 балкон,1210000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/246657481/,7,,,,,,
811,31,18,1,Вторичка,,1 раздельный,,1210000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/243298561/,6,,,,Косметический,Во двор,
812,20,11,9,Вторичка,,1 совмещенный,1 лоджия,1200000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/241756338/,4,,,,,,
813,30,18,3,Вторичка,"2,6 м",1 совмещенный,1 балкон,1200000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/244358308/,6,,,,,,
814,30,16,1,Вторичка,,,,1200000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/245691155/,5,,,,Без ремонта,Во двор,
815,22,14,1,Вторичка,,1 совмещенный,,1200000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/243573625/,5,,,,Косметический,На улицу,
816,31,17,5,Вторичка,"2,55 м",1 совмещенный,1 лоджия,1200000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/243438993/,5,,,,,,
817,30,19,5,Вторичка,3 м,1 совмещенный,1 балкон,1220000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/236347355/,6,,,,,,
818,32,18,4,Вторичка,"2,55 м",1 совмещенный,1 балкон,1200000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/225633255/,5,,,,,,
819,31,17,5,Вторичка,,1 совмещенный,1 балкон,1200000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/242168927/,5,,,1972,Косметический,,
820,30,17,5,Вторичка,,,,1219000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/241607377/,6,,,,,На улицу и двор,
821,31,18,5,Вторичка,,1 совмещенный,1 балкон,1200000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/244748657/,6,,,,,,
822,31,18,4,Вторичка,,1 совмещенный,,1200000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/218037823/,6,,18 м²,,Косметический,Во двор,
823,31,,4,Вторичка,,1 совмещенный,1 балкон,1250000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/246657538/,5,,,,Косметический,,
824,34,18,5,Вторичка,,1 раздельный,1 балкон,1260000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/230139671/,9,,,,Евроремонт,,
825,32,18,1,Вторичка,"2,6 м",1 совмещенный,,1260000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/238380018/,6,,,,,,
826,29,,6,Вторичка,,1 совмещенный,1 балкон,1250000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/241433407/,5,,,1980,Косметический,,
827,32,18,4,Вторичка,3 м,1 совмещенный,1 балкон,1250000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/233244372/,6,,,,,,
828,25,13,2,Вторичка,,1 совмещенный,1 балкон,1270000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/232108431/,6,,,,,,
829,32,18,3,Вторичка,"2,55 м",1 совмещенный,1 балкон,1280000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/240586541/,6,,,,,,
830,35,19,3,Вторичка,"2,8 м",1 раздельный,,1250000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/243668904/,7,,,,,,
831,31,18,4,Вторичка,"2,55 м",1 совмещенный,1 балкон,1270000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/241704661/,6,,,,,,
832,31,15,2,Вторичка,,1 совмещенный,,1270000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/234323194/,13,,,,,,
833,19,10,3,Вторичка,,1 совмещенный,1 лоджия,1260000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/243668921/,4,,,,,,
834,31,18,2,Вторичка,,1 совмещенный,1 лоджия,1250000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/192008960/,5,,,1973,Косметический,,
835,35,20,1,Вторичка,,1 раздельный,,1270000,1-комн.,р-н Ворошиловский,https://volgograd.cian.ru/sale/flat/245845248/,9,,,,,,
836,40,17,1,Вторичка,,1 совмещенный,1 лоджия,1250000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/213270653/,6,,"17,5 м²",1972,Косметический,,
837,31,18,5,Вторичка,,1 совмещенный,1 балкон,1320000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/227339392/,6,,,,Без ремонта,,
838,32,17,5,Вторичка,,1 совмещенный,,1300000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/228733191/,6,,,,Косметический,Во двор,
