,Общая,Жилая,Кухня,Этаж,Срок сдачи,Тип жилья,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Санузел,Балкон/лоджия,Цена,Комнат,Район,Высота потолков,Построен,Планировка,Ремонт,Вид из окон,Отделка,Линк
1272,61,43.0,8.0,1,,Вторичка,,1 раздельный,1 лоджия,2500000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/224918531/
1273,64,49.0,5.0,5,,Вторичка,,1 совмещенный,1 балкон,2500000,3-комн.,р-н Советский,,,,,,,https://volgograd.cian.ru/sale/flat/239519847/
1274,61,42.0,6.0,5,,Вторичка,,,1 балкон,2570000,3-комн.,р-н Ворошиловский,,,,Косметический,На улицу и двор,,https://volgograd.cian.ru/sale/flat/243656723/
1275,61,45.0,5.0,2,,Вторичка,,1 раздельный,1 балкон,2570000,3-комн.,р-н Красноармейский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/246815807/
1276,68,39.0,9.0,1,,Вторичка,,1 раздельный,1 лоджия,2550000,3-комн.,р-н Дзержинский,"2,55 м",2000.0,,Косметический,,,https://volgograd.cian.ru/sale/flat/220248984/
1277,76,52.0,9.0,1,,Вторичка,,1 раздельный,,2560000,3-комн.,р-н Тракторозаводский,3 м,,,Без ремонта,На улицу и двор,,https://volgograd.cian.ru/sale/flat/241323051/
1278,58,41.0,6.0,3,,Вторичка,,1 раздельный,1 балкон,2560000,3-комн.,р-н Тракторозаводский,"2,5 м",,,Без ремонта,На улицу и двор,,https://volgograd.cian.ru/sale/flat/241764575/
1279,52,36.0,,3,,Вторичка,,,1 балкон,2570000,3-комн.,р-н Краснооктябрьский,,,,,,,https://volgograd.cian.ru/sale/flat/246657572/
1280,57,42.0,7.0,5,,Вторичка,,1 совмещенный,1 балкон,2560000,3-комн.,р-н Ворошиловский,,,,Без ремонта,На улицу и двор,,https://volgograd.cian.ru/sale/flat/228732415/
1281,60,38.0,8.0,4,,Вторичка,,1 раздельный,1 лоджия,2560000,3-комн.,р-н Тракторозаводский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/244522988/
1282,55,41.0,6.0,5,,Вторичка,,1 совмещенный,1 балкон,2570000,3-комн.,р-н Кировский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/235221617/
1283,65,45.0,9.0,2,,Вторичка,,1 раздельный,1 балкон,2570000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/228286096/
1284,59,40.0,6.0,1,,Вторичка,,1 совмещенный,,2550000,3-комн.,р-н Ворошиловский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/232033145/
1285,72,50.0,10.0,2,,Вторичка,,1 раздельный,1 балкон,2570000,3-комн.,р-н Кировский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/222095272/
1286,55,37.0,6.0,3,,Вторичка,,1 раздельный,"1 балкон, 1 лоджия",2550000,3-комн.,р-н Тракторозаводский,,,Изолированная,,На улицу и двор,,https://volgograd.cian.ru/sale/flat/240499718/
1287,72,50.0,7.0,2,,Вторичка,,1 раздельный,1 балкон,2570000,3-комн.,р-н Кировский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/245407278/
1288,64,38.0,8.0,8,,Вторичка,,1 раздельный,1 лоджия,2570000,3-комн.,р-н Красноармейский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/238902264/
1289,55,37.0,6.0,3,,Вторичка,,1 совмещенный,,2580000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/225633281/
1290,65,45.0,9.0,9,,Вторичка,,1 раздельный,1 балкон,2570000,3-комн.,р-н Тракторозаводский,"2,6 м",,Изолированная,Косметический,На улицу и двор,,https://volgograd.cian.ru/sale/flat/243203292/
1291,64,40.0,9.0,10,,Вторичка,,1 раздельный,"1 балкон, 1 лоджия",2570000,3-комн.,р-н Красноармейский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/230194600/
1292,63,40.0,8.0,2,,Вторичка,,1 совмещенный,1 лоджия,2570000,3-комн.,р-н Красноармейский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/237635368/
1293,55,40.0,5.0,6,,Вторичка,,1 совмещенный,1 балкон,2600000,3-комн.,р-н Краснооктябрьский,"2,5 м",1964.0,,Косметический,На улицу и двор,,https://volgograd.cian.ru/sale/flat/237819210/
1294,55,43.0,6.0,4,,Вторичка,,1 совмещенный,,2600000,3-комн.,р-н Советский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/246648324/
1295,52,39.0,6.0,5,,Вторичка,,1 раздельный,1 балкон,2600000,3-комн.,р-н Центральный,"2,6 м",,,Без ремонта,На улицу и двор,,https://volgograd.cian.ru/sale/flat/228732814/
1296,56,40.0,6.0,2,,Вторичка,,,1 балкон,2600000,3-комн.,р-н Тракторозаводский,,,,Евроремонт,На улицу и двор,,https://volgograd.cian.ru/sale/flat/245192732/
1297,54,39.0,5.0,5,,Вторичка,,,,2600000,3-комн.,р-н Центральный,,,,,,,https://volgograd.cian.ru/sale/flat/243462589/
1298,57,37.0,6.0,1,,Вторичка,,1 совмещенный,,2600000,3-комн.,р-н Краснооктябрьский,,,,,,,https://volgograd.cian.ru/sale/flat/238256733/
1299,64,40.0,8.0,1,,Вторичка,,1 раздельный,1 лоджия,2640000,3-комн.,р-н Тракторозаводский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/222778725/
1300,65,40.0,8.0,2,,Вторичка,,1 раздельный,2 лоджии,2600000,3-комн.,р-н Красноармейский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/241704698/
1301,58,40.0,7.0,7,,Вторичка,,1 раздельный,"1 балкон, 1 лоджия",2640000,3-комн.,р-н Красноармейский,,1978.0,Смежно-изолированная,Косметический,На улицу и двор,,https://volgograd.cian.ru/sale/flat/233451226/
1302,65,41.0,9.0,9,,Вторичка,,1 раздельный,1 лоджия,2600000,3-комн.,р-н Красноармейский,,1979.0,,Косметический,,,https://volgograd.cian.ru/sale/flat/201848752/
1303,56,40.0,5.0,7,,Вторичка,,1 раздельный,2 лоджии,2650000,3-комн.,р-н Красноармейский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/245612354/
1304,59,37.0,7.0,10,,Вторичка,,1 раздельный,1 лоджия,2650000,3-комн.,р-н Советский,,,,,,,https://volgograd.cian.ru/sale/flat/237301052/
1305,71,43.0,7.0,1,,Вторичка,,1 совмещенный,2 балкона,2650000,3-комн.,р-н Красноармейский,,,,,,,https://volgograd.cian.ru/sale/flat/238902265/
1306,59,41.0,7.0,9,,Вторичка,,1 раздельный,1 лоджия,2660000,3-комн.,р-н Советский,,,Смежно-изолированная,Косметический,,,https://volgograd.cian.ru/sale/flat/234751117/
1307,60,38.0,8.0,4,,Вторичка,,1 раздельный,1 лоджия,2650000,3-комн.,р-н Кировский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/241704711/
1308,58,45.0,6.0,2,,Вторичка,,1 совмещенный,,2670000,3-комн.,р-н Краснооктябрьский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/243826354/
1309,57,32.0,7.0,5,,Вторичка,,1 раздельный,,2650000,3-комн.,р-н Кировский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/224344460/
1310,64,41.0,8.0,14,,Вторичка,,1 раздельный,2 балкона,2690000,3-комн.,р-н Кировский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/226496894/
1311,63,42.0,11.0,1,,Вторичка,,1 раздельный,1 лоджия,2670000,3-комн.,р-н Кировский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/225633277/
1312,59,42.0,6.0,5,,Вторичка,17.6-13.7-11.3 м²,1 раздельный,1 балкон,2690000,3-комн.,р-н Дзержинский,"2,5 м",1971.0,,Евроремонт,,,https://volgograd.cian.ru/sale/flat/226074626/
1313,65,41.0,9.0,9,,Вторичка,,1 раздельный,1 лоджия,2680000,3-комн.,р-н Красноармейский,,1983.0,Изолированная,Евроремонт,На улицу и двор,,https://volgograd.cian.ru/sale/flat/242690997/
1314,68,46.0,8.0,2,,Вторичка,18.7-15.1-12.6 м²,1 раздельный,1 балкон,2699000,3-комн.,р-н Тракторозаводский,"2,5 м",1944.0,Изолированная,Евроремонт,,,https://volgograd.cian.ru/sale/flat/223536684/
1315,60,40.0,6.0,7,,Вторичка,,1 раздельный,"1 балкон, 1 лоджия",2650000,3-комн.,р-н Красноармейский,,1971.0,Смежно-изолированная,Косметический,,,https://volgograd.cian.ru/sale/flat/244969346/
1316,62,46.0,6.0,3,,Вторичка,,1 раздельный,1 балкон,2700000,3-комн.,р-н Советский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/238379991/
1317,64,,,9,,Вторичка,64.6-39.3-7.7 м²,,,2700000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/230390731/
1318,50,36.0,6.0,5,,Вторичка,,1 совмещенный,1 балкон,2700000,3-комн.,р-н Центральный,,,,,,,https://volgograd.cian.ru/sale/flat/222095965/
1319,52,35.0,8.0,1,,Вторичка,,1 совмещенный,,2700000,3-комн.,р-н Центральный,,,,Евроремонт,На улицу и двор,,https://volgograd.cian.ru/sale/flat/242562029/
1320,63,41.0,7.0,1,,Вторичка,"11,6-17,9-11,8 м²",1 раздельный,1 балкон,2700000,3-комн.,р-н Ворошиловский,"2,6 м",1985.0,Изолированная,Косметический,На улицу и двор,,https://volgograd.cian.ru/sale/flat/240682948/
1321,60,39.0,6.0,10,,Вторичка,,1 раздельный,1 балкон,2750000,3-комн.,р-н Краснооктябрьский,"2,5 м",,,Без ремонта,На улицу и двор,,https://volgograd.cian.ru/sale/flat/229351033/
1322,64,45.0,8.0,5,,Вторичка,,1 раздельный,1 балкон,2750000,3-комн.,р-н Тракторозаводский,"2,8 м",,Изолированная,Косметический,На улицу и двор,,https://volgograd.cian.ru/sale/flat/241979072/
1323,59,43.0,6.0,5,,Вторичка,,1 раздельный,1 балкон,2780000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/244828610/
1324,73,49.0,8.0,4,,Вторичка,,1 раздельный,1 балкон,2770000,3-комн.,р-н Тракторозаводский,,,,,,,https://volgograd.cian.ru/sale/flat/245549743/
1325,60,40.0,11.0,2,,Вторичка,,,1 балкон,2770000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/245042334/
1326,62,37.0,13.0,1,,Вторичка,,1 совмещенный,,2760000,3-комн.,р-н Краснооктябрьский,,1970.0,,Без ремонта,На улицу,,https://volgograd.cian.ru/sale/flat/228731760/
1327,57,41.0,7.0,4,,Вторичка,,1 раздельный,1 лоджия,2760000,3-комн.,р-н Краснооктябрьский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/244320130/
1328,64,48.0,9.0,8,,Вторичка,,1 раздельный,3 балкона,2760000,3-комн.,р-н Кировский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/243314002/
1329,74,46.0,7.0,3,,Вторичка,,1 раздельный,1 балкон,2770000,3-комн.,р-н Красноармейский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/241756322/
1330,57,37.0,6.0,2,,Вторичка,,1 раздельный,1 балкон,2799000,3-комн.,р-н Дзержинский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/245021666/
1331,62,45.0,6.0,1,,Вторичка,,1 совмещенный,,2760000,3-комн.,р-н Краснооктябрьский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/227905271/
1332,60,44.0,6.0,5,,Вторичка,10.4-17.2-17.1 м²,1 раздельный,1 балкон,2750000,3-комн.,р-н Дзержинский,"2,5 м",1971.0,Изолированная,,Во двор,,https://volgograd.cian.ru/sale/flat/221952371/
1333,64,40.0,7.0,9,,Вторичка,,1 раздельный,1 лоджия,2750000,3-комн.,р-н Тракторозаводский,,,Изолированная,Евроремонт,На улицу и двор,,https://volgograd.cian.ru/sale/flat/240972826/
1334,56,38.0,6.0,1,,Вторичка,"9,6-10,7+18,4 м²",1 раздельный,1 лоджия,2750000,3-комн.,р-н Центральный,,,Смежная,Без ремонта,На улицу и двор,,https://volgograd.cian.ru/sale/flat/217484788/
1335,62,45.0,6.0,4,,Вторичка,,,1 балкон,2800000,3-комн.,р-н Тракторозаводский,,,Изолированная,,На улицу и двор,,https://volgograd.cian.ru/sale/flat/241672280/
1336,59,,6.0,3,,Вторичка,,1 раздельный,1 балкон,2800000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/246657685/
1337,56,38.0,7.0,9,,Вторичка,19-10-9 м²,1 раздельный,1 балкон,2800000,3-комн.,р-н Центральный,,,Изолированная,Косметический,Во двор,,https://volgograd.cian.ru/sale/flat/242350044/
1338,60,38.0,9.0,1,,Вторичка,,,,2800000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/223224951/
1339,64,42.0,9.0,5,,Вторичка,,1 раздельный,1 балкон,2800000,3-комн.,р-н Тракторозаводский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/222966787/
1340,59,43.0,6.0,3,,Вторичка,,,1 балкон,2800000,3-комн.,р-н Ворошиловский,,,,,На улицу и двор,,https://volgograd.cian.ru/sale/flat/241606925/
1341,65,40.0,8.0,8,,Вторичка,,1 раздельный,2 лоджии,2870000,3-комн.,р-н Кировский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/245845207/
1342,63,38.0,8.0,2,,Вторичка,,1 раздельный,1 балкон,2860000,3-комн.,р-н Краснооктябрьский,,1995.0,,Евроремонт,На улицу и двор,,https://volgograd.cian.ru/sale/flat/228733155/
1343,62,38.0,15.0,4,,Вторичка,,1 раздельный,1 лоджия,2860000,3-комн.,р-н Краснооктябрьский,,,,Евроремонт,,,https://volgograd.cian.ru/sale/flat/246657476/
1344,56,,,2,,Вторичка,,,,2850000,3-комн.,р-н Краснооктябрьский,,,,,,,https://volgograd.cian.ru/sale/flat/246657580/
